"","LS1","U1","U2","U3","U4","U5","U6","U7","UR10","UR13","UR14","UR15","UR16","UR17","UR18","UR25","UR26","UR31","UR33","UR39","UR44","UR48","UR5","UR52","UR53","UR60","UR7","UR8"
"Otu0001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0002",0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,55,0,0,0,80,23,0,0,0,0,0,0,21
"Otu0003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0007",50,3893,130,535,108,19,32,0,19,0,41,0,12,230,0,0,72,24,0,148,0,21,25,21,25,0,15,33
"Otu0034",0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
"Otu0038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0058",82,5,1083,10830,26,3240,329,59,33,0,108,0,12,0,0,35,3341,106,21,45,0,11,47,12,0,0,156,26
"Otu0066",14,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0067",0,0,0,0,0,0,0,0,0,0,0,0,0,92,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0072",0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Otu0074",0,0,11,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0076",77,8,39,25,36,39,55,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0093",264,16142,90,214,38031,1920,5836,6399,0,0,0,247,23,235,7437,5,177,0,11,126,0,1996,3,13,82,0,85,0
"Otu0146",90,677,3288,3705,76,721,135,61,33,0,112,78,19,62,0,56,1990,61,30,46,19,3,64,50,19,0,60,84
"Otu0161",0,18,0,0,0,0,0,0,32,0,26,0,21,37,10,24,206,20,17,18,8,15,23,13,18,0,13,13
"Otu0162",0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0163",23,8,8,279,0,17,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0164",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0165",11,21,0,0,11,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0172",0,0,11,140,8,0,0,0,0,0,0,0,0,18,0,0,77,0,0,0,0,0,0,0,55,0,0,0
"Otu0184",94,25,31,63,36,37,69,71,32,0,52,7,7,89,10,16,11,14,0,11,0,9,15,22,16,7,0,35
"Otu0206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0
"Otu0207",0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,6,0,0
"Otu0212",20787,172,16275,1181,152,23754,29514,18010,26042,1131,16849,3874,14511,380,0,26502,13455,13621,14979,21990,14222,8234,27277,3485,7857,4678,12565,29267
"Otu0242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
"Otu0244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0
"Otu0245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0
"Otu0247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0
